model,acc,dice,iou,fpr,fnr,test_loss
unet_scratch,0.9053899765014639,0.8339357210642184,0.7161134604180993,0.07490263494020687,0.140209807100309,0.25737770795822146
resunet_frozen,0.921973450978596,0.8633027881347953,0.7604620631009573,0.06300371717710326,0.11556589481517783,0.22063228487968445
resunet_finetune,0.9430708249409984,0.8954180839527716,0.8118224887013479,0.03375608967833358,0.11401107889161514,0.18407129645347595
resunet_finetune,0.9377765337626129,0.8894733349174914,0.8021424326343837,0.04628824549286151,0.10034579174050115,0.38278313279151915
